"title","type","year","author"
"Z Nation #5","TV Show",2018,"Karl Schaefer, Craig Engler"
"The Walking Dead #9","TV Show",2018,"Robert Kirkman, Frank Darabont"
"Zombiepura","Film",2018,"Jacen Tran"
"Feel the Dead","TV Show",2017,NA
"Cargo","Film",2017,"Ben Howling, Yolanda Ramke"
"Attack of the Lederhosen Zombies","Film",2017,"Dominik Hartl"
"Les Affamés/Ravenous","Film",2017,"Robin Aubert"
"La Piel Fría","Film",2017,"Xavier Gens"
"Sky Sharks","Film",2017,"Marc Fehse"
"Dead Shack","Film",2017,"Peter Ricq"
"Kl24: Zombies","Film",2017,"Shamaine Othman, James Lee/Gavin Yap"
"The Cured","Film",2017,"David Freyne"
"Resident Evil: Vendetta","Film",2017,"Takanori Tsujimoto"
"Trip Ubusan: The Lolas vs. Zombies","Film",2017,"Mark A. Reyes"
"One Cut of the Dead","Film",2017,"Shinichiro Ueda"
"Last Humans","Film",2017,"Nathan Hughes"
"The 4th Reich","Film",2017,"Shaun Robert Smith "
"An Accidental Zombie (Named Ted)","Film",2017,"Ane Welles"
"Bong of the Living Dead","Film",2017,"Max Groah"
"Locked Away","Film",2017,"Jason Morisette"
"Sickness","Film",2017,"Brandon E. Brooks"
"Zombie Pizza","Film",2017,"Mike Dudko"
"Mayhem","Film",2017,"Joe Lynch"
"Monster High: Electrified","Film",2017,"Avgousta Zourelidi, Jun Falkenstein/René Veilleux"
"Zombie TV","Film",2017,"Micheal Cuomo"
"Subject #7","Film",2017,"Leeroy C. Farrare"
"Dead House","TV Show",2017,"Andrew Bachelor"
"Fear the Walking Dead #3","TV Show",2017,"Robert Kirkman"
"iZombie #3","TV Show",2017,"Rob Thomas, Diane Ruggiero-Wright"
"The Strain #4","TV Show",2017,"Guillermo del Toro, Chuck Hogan"
"Z Nation #4","TV Show",2017,"Karl Schaefer, Craig Engler"
"The Walking Dead #8","TV Show",2017,"Robert Kirkman, Frank Darabont"
"Freakish #2","TV Show",2017,"Beth Szymkowski"
"Breakdown Lane","Film",2017,"Bob Schulz, Robert Conway"
"Devastación","Film",2016,"Abraham Sánchez"
"Miruthan","Film",2016,"Shakti Soundar Rajan"
"Beste Vrienden","Film",2016,"Ruwan Heggelman"
"The Autopsy of Jane Doe","Film",2016,"Andre Ovredal"
"Seoul Station","Film",2016,"Yeon Sang-ho"
"Train to Busan","Film",2016,"Yeon Sang-ho"
"Last Ones Out","Film",2016,"Howard Fyvie"
"Death Walks","Film",2016,"Spencer Hawken"
"Still","Film",2016,"Carl Timms"
"The Girl with All the Gifts","Film",2016,"Colm McCarthy"
"Zombies In Tha Hood","Film",2016,"Leon Mitchell"
"Cell","Film",2016,"Todd Williams"
"Daylight's End","Film",2016,"William Kauffman"
"Dead 7","Film",2016,"Nick Carter"
"Dead Rising: Endgame","Film",2016,"Pat Williams"
"Here Alone","Film",2016,"Rod Blackhurst"
"Isle of the Death","Film",2016,"Nick Lyon"
"Pandemic","Film",2016,"John Suits"
"Pride and Prejudice and Zombies","Film",2016,"Burr Steers"
"Resident Evil: The Final Chapter","Film",2016,"Paul W.S. Anderson"
"Viral","Film",2016,"Henry Joost, Ariel Schulman"
"Zoombies","Film",2016,"Glenn R. Miller"
"Peelers","Film",2016,"Sevé Schelenz"
"Range 15","Film",2016,"Ross Patterson"
"Tyler Perry’s Boo! A Madea Halloween","Film",2016,"Tyler Perry"
"BrainDead","TV Show",2016,"Robert King, Michelle King"
"Fear the Walking Dead: Passage","TV Show",2016,"Andrew Bernstein"
"The Santa Clarita Diet #1","TV Show",2016,"Victor Fresco"
"The Santa Clarita Diet #2","TV Show",2016,"Victor Fresco"
"The Walking Dead in the Hood","TV Show",2016,"Alex Gonzalez"
"Fear the Walking Dead #2","TV Show",2016,"Robert Kirkman"
"The Strain #3","TV Show",2016,"Guillermo del Toro, Chuck Hogan"
"Z Nation #3","TV Show",2016,"Karl Schaefer, Craig Engler"
"The Walking Dead #7","TV Show",2016,"Robert Kirkman, Frank Darabont"
"Freakish #1","TV Show",2016,"Beth Szymkowski"
"Containment","TV Show",2016,"Julie Plec"
"Infected","TV Show",2016,"Anthony Lucero, Eric Martinez"
"Ibiza Undead","Film",2016,"Andy Edwards"
"Plague","Film",2015,"Nick Kozakis, Kosta Ouzas"
"A Capital dos Mortos 2: Mundo Morto","Film",2015,"Tiago Belotti"
"What We Become","Film",2015,"Bo Mikkelsen"
"Don't Grow Up","Film",2015,"Thierry Poiraud"
"Les Revenants/The Returned #2","TV Show",2015,"Fabrice Gobert, Frédéric Mermoud"
"What We Do in the Shadows","Film",2015,"Taika Waititi, Jemaine Clement"
"Ebola Zombies","Film",2015,"Samuel Leong"
"JeruZalem","Film",2015,"Doron Paz, Yoav Paz"
"I Am a Hero","Film",2015,"Shinsuke Sato"
"Z Island","Film",2015,"Hiroshi Shinagawa"
"Vere Vazhi Ille","Film",2015,"M.S. Prem Nath"
"Extinction","Film",2015,"Miguel Angel Vivas"
"Summer Camp","Film",2015,"Alberto Marini"
"Darkest Day","Film",2015,"Dan Rickard"
"The Rezort","Film",2015,"Steve Barker"
"Amigo Undead","Film",2015,"Ryan Nagata"
"Contracted: Phase II","Film",2015,"Josh Forbes"
"Me and My Mates vs. The Zombie Apocalypse","Film",2015,"Declan Schrubb"
"Dead Rising: Watchover","Film",2015,"Zach Lipowsky"
"Freaks of Nature","Film",2015,"Robert Pickering"
"Maggie","Film",2015,"Henry Hobson"
"Milfs vs. Zombies","Film",2015,"Brad Twigg"
"Navy Seals vs. Zombies","Film",2015,"Stanton Barret"
"Night of the Living Dead: Darkest Dawn","Film",2015,"Zebediah de Soto"
"Re-Kill","Film",2015,"Valeri Milev"
"Scouts Guide to the Zombie Apocalypse","Film",2015,"Christopher B. Landon"
"The Burning Dead","Film",2015,"Rene Perez"
"The Walking Deceased","Film",2015,"Scott Dow"
"Zombie World","Film",2015,"Jesse Baget, Adrian Cardona/Rafa Dengra/Luke Guidici/Phil Haine/Cameron McCulloch/David Munoz/Adam O'Brien/Zachary Ramelan/Paul Shrimpton/Vedran Marjanovic Wesker/Tommy Woodard"
"A Christmas Horror Story","Film",2015,"Grant Harvey, Steven Hoban/Brett Sullivan"
"Burying the Ex","Film",2015,"Jose Dante"
"Condemned","Film",2015,"Eli Morgan Gesner"
"How to Save Us","Film",2015,"Jason Trost"
"Maze Runner: The Scorch Trials","Film",2015,"Wes Ball"
"Hidden","Film",2015,"Matt Duffer, Ross Duffer"
"Deadman Inferno","Film",2015,"Hiroshi Shinagawa"
"Toxic Lullaby","Film",2015,"Ralf Kemper"
"Fear the Walking Dead #1","TV Show",2015,"Robert Kirkman"
"Fear the Walking Dead: Flight 462","TV Show",2015,"Michael McDonough"
"Zombie Killers: Elephant's Graveyard","Film",2015,"B. Harrison Smith"
"I Am Alone","Film",2015,"Robert A. Palmer"
"Fight of the Living Dead","TV Show",2015,"Chris Hall"
"iZombie #1","TV Show",2015,"Rob Thomas, Diane Ruggiero-Wright"
"iZombie #2","TV Show",2015,"Rob Thomas, Diane Ruggiero-Wright"
"The Strain #2","TV Show",2015,"Guillermo del Toro, Chuck Hogan"
"Z Nation #2","TV Show",2015,"Karl Schaefer, Craig Engler"
"The Walking Dead #6","TV Show",2015,"Robert Kirkman, Frank Darabont"
"Helix #2","TV Show",2015,"Cameron Porsandeh"
"Zombie Basement","TV Show",2015,"Maisy Kay, Angela Kinsey/Max Martini"
"Devil's Tower","Film",2014,"Owen Tooth"
"Wyrmwood: Road of the Dead","Film",2014,"Kiah Roache-Turner"
"Goal of the Dead","Film",2014,"Thierry Poiraud, Benjamin Rocher"
"Geung si/Rigor Mortis","Film",2014,"Juno Mak"
"Another World","Film",2014,"Eitan Ruven"
"Ojuju","Film",2014,"C.J. Obasi"
"Dead Snow: Red vs. Dead","Film",2014,"Tommy Wirkola"
"Dead House/Beautiful People","Film",2014,"Brini Amerigo"
"Socialisticky Zombi Mord","Film",2014,"Rastislav Blazek, Peter Cermak/Zuzana Paulini"
"REC 4: Apocalypse","Film",2014,"Jaume Balaguero"
"Doc of the Dead","Film",2014,"Alexandre O. Philippe"
"In the Flesh #2","TV Show",2014,"Dominic Mitchell"
"Burying The Ex","Film",2014,"Joe Dante"
"Chrysalis","Film",2014,"John Klein"
"Cooties","Film",2014,"Jonathan Milott, Cary Murnion"
"Dead Within","Film",2014,"Ben Wagner"
"How to Kill a Zombie","Film",2014,"Tiffany McClean"
"Life After Beth","Film",2014,"Jeff Baena"
"Night of the Living Dead","Film",2014,"Chad Zuver"
"Reichsfuhrer SS","Film",2014,"David B. Stewart"
"Roadkill Zoo","Film",2014,"Bradley Beesley"
"The Dead and the Damned 2","Film",2014,"Rene Perez"
"Zombeavers","Film",2014,"Jordan Rubin"
"All Cheerleaders Die","Film",2014,"Lucky McKee, Chris Sivertson"
"Zombie Fight Club","Film",2014,"Joe Chien"
"The Maze Runner","Film",2014,"Wes Ball"
"This Is What Remains","Film",2014,"Ben Wagner"
"Videoclub","Film",2014,"Pablo Illanes"
"Hunger Z","Film",2014,"Naoto Tsukiashi"
"The Strain #1","TV Show",2014,"Guillermo del Toro, Chuck Hogan"
"Z Nation #1","TV Show",2014,"Karl Schaefer, Craig Engler"
"The Walking Dead #5","TV Show",2014,"Robert Kirkman, Frank Darabont"
"Helix #1","TV Show",2014,"Cameron Porsandeh"
"I Survived a Zombie Holocaust","Film",2014,"Guy Pidgen"
"Revelation Trail","Film",2013,"John P. Gibson"
"Night of the Living 3D Dead","Film",2013,"Samuel Victor"
"Dead Sands","Film",2013,"Ameera Al Qaed"
"Go Goa Gone","Film",2013,"Raj Nidimoru, Krishna D.K."
"The Last Days on Mars","Film",2013,"Ruairi Robinson"
"Zombie Massacre","Film",2013,"Luca Boni, Marco Ristori"
"Miss Zombie","Film",2013,"Sabu"
"M is for Macho","Film",2013,"Jose Pedro Lopes"
"Open Grave","Film",2013,"Gonzalo Lopez-Gallego"
"The Last Days","Film",2013,"David Pastor, Alex Pastor"
"The Returned","Film",2013,"Manuel Carballo"
"Before Dawn","Film",2013,"Dominic Brunt"
"Outpost: Rise of the Spetsnaz","Film",2013,"Kieran Parker"
"Stalled","Film",2013,"Christian James"
"The Dead 2: India","Film",2013,"Howard J. Ford, Jonathan Ford"
"The Dead Inside","Film",2013,"Andrew Gilbert"
"The Zombie King","Film",2013,"Aidan Belizaire"
"Zombie Run","Film",2013,"Damian Morter"
"In the Flesh #1","TV Show",2013,"Dominic Mitchell"
"Bath Salt Zombies","Film",2013,"Dustin Mills"
"Battle of the Damned","Film",2013,"Christopher Hatton"
"Contracted","Film",2013,"Eric England"
"Germ","Film",2013,"J.T. Boone, John Craddok"
"Pro Wrestlers vs Zombies","Film",2013,"Cody Knotts"
"V/H/S/2, segment ""A Ride in the Park""","Film",2013,"Eduardo Sanchez, Gregg Hale"
"Warm Bodies","Film",2013,"Jonathan Levine"
"World War Z","Film",2013,"Marc Forster"
"Zombie Night","Film",2013,"John Gulager"
"A Zombie Invasion","Film",2013,"Matt Green"
"Midget Zombie Takeover","Film",2013,"Glenn Berggoetz"
"Nothing Left to Fear","Film",2013,"Anthony Leonardi III"
"This Is the End","Film",2013,"Seth Rogen, Evan Goldberg"
"Zombie Ed","Film",2013,"Ren Blood"
"The Walking Dead #4","TV Show",2013,"Robert Kirkman, Frank Darabont"
"Evil Dead","Film",2013,"Fede Alvarez"
"Rise of the Zombie","Film",2013,"Luke Kenny, Devaki Singh"
"Buck Wild","Film",2013,"Tyler Glodt"
"The Battery","Film",2012,"Jeremy Gardner"
"A Little Bit Zombie","Film",2012,"Casey Walker"
"Dead Before Dawn","Film",2012,"April Mullen"
"Sick: Survive the Night","Film",2012,"Ryan M. Andrews"
"Zombie Dawn","Film",2012,"Lucio A. Rojas, Christian Toledo"
"Les Revenants/The Returned #1","TV Show",2012,"Fabrice Gobert, Frédéric Mermoud"
"Portrait of a Zombie","Film",2012,"Bing Bailey"
"The Kirishima Thing (Kirishima, Bukatsu Yamerutteyo)","Film",2012,"Daihachi Yoshida"
"Sankarea","TV Show",2012,"Shinichi Omata"
"Zombibi (Kill Zombie or Zombie Kill)","Film",2012,"Martijn Smits, Erwin van den Eshof"
"Fist of Jesus","Film",2012,"David Munoz, Adrian Cardona"
"REC 3: Genesis","Film",2012,"Paco Plaza"
"[Rec] 3: Genesis","Film",2012,"Paco Plaza"
"Decay","Film",2012,"Luke Thompson"
"Airborne","Film",2012,"Dominic Burns"
"Cockneys vs. Zombies","Film",2012,"Matthias Hoene"
"Outpost: Black Sun","Film",2012,"Steve Barker"
"School of the Dead/Liam Hooper's School of the Dead","Film",2012,"Liam Hooper"
"2 Hours","Film",2012,"Michael Ballif"
"Abraham Lincoln vs. Zombies","Film",2012,"Richard Schenkman"
"Detention of the Dead","Film",2012,"Alex Craig Mann"
"Evil Head","Film",2012,"Doug Sakmann"
"Night of the Living Dead 3D: Re-Animation","Film",2012,"Jeff Broadstreet"
"ParaNorman","Film",2012,"Sam Fell, Chris Butler"
"Resident Evil: Damnation","Film",2012,"Makoto Kamiya"
"Resident Evil: Retribution","Film",2012,"Paul W.S. Anderson"
"Rise of the Zombies","Film",2012,"Nick Lyon"
"Scary or Die, segments ""The Crossing"", ""Clowned""","Film",2012,"Michael Emanuel"
"The ABCs of Death, segment ""W is for WTF?""","Film",2012,"Jon Schnepp"
"The Amazing Adventures of the Living Corpse","Film",2012,"Justin Paul Ritter"
"The Zombinator","Film",2012,"Sergio Myers"
"V/H/S, segment ""Tape 56""","Film",2012,"Adam Wingard"
"Hotel Transylvania","Film",2012,"Genndy Tartakovsky"
"The Cabin in the Woods","Film",2012,"Drew Goddard"
"Nazis at the Center of the Earth","Film",2012,"Joseph J. Lawson"
"The Dead Want Women","Film",2012,"Charles Band"
"Dorm of the Dead","Film",2012,"Tobias Canto Jr., Tyrel Good"
"The Walking Dead #3","TV Show",2012,"Robert Kirkman, Frank Darabont"
"Harold's Going Stiff","Film",2011,"Keith Wright"
"Collapse","Film",2011,"Jason Bolinger, Insane Mike Saunders"
"Zombie Apocalypse: Redemption","Film",2011,"Ryan Thompson"
"Dylan Dog: Dead of Night","Film",2011,"Kevin Munroe"
"Exit Humanity","Film",2011,"John Geddes"
"The Day","Film",2011,"Douglas Aarniokoski"
"War of the Dead (Stone's War)","Film",2011,"Marko Makilaakso"
"Stake Land","Film",2011,"Jim Mickle"
"Schoolgirl Apocalypse","Film",2011,"John S. Cairns"
"Zombie Ass (Zombie Ass: Toilet of the Dead)","Film",2011,"Noboru Iguchi"
"Remington and the Curse of the Zombadings (Zombadings 1: Patayin sa Shokot si Remington)","Film",2011,"Jade Castro"
"The Zombie Diaries 2","Film",2011,"Michael Bartlett, Kevin Gates"
"Bled White","Film",2011,"Jose Carlos Gomez"
"Caustic Zombies","Film",2011,"Johnny Daggers"
"DeadHeads","Film",2011,"Brett Pierce, Drew T. Pierce"
"Fading of the Cries","Film",2011,"Brian A. Metcalf"
"First Platoon","Film",2011,"Chris Gabriel"
"Night of the Living Carrots","Film",2011,"Robert Porter"
"Pirates of the Caribbean: On Stranger Tides","Film",2011,"Rob Marshall"
"Pop Punk Zombies","Film",2011,"Steve Dayton"
"Quarantine 2: Terminal","Film",2011,"John Pogue"
"Remains (Steve Niles' Remains)","Film",2011,"Colin Theys"
"State of Emergency","Film",2011,"Turner Clay"
"Stitched","Film",2011,"Garth Ennis"
"The Cabin in the Woods","Film",2011,"Drew Goddard"
"The Walken Dead","Film",2011,"Ryan Hunter"
"The Zombie Farm","Film",2011,"Ricardo Islas"
"Zombie Apocalypse","Film",2011,"Nick Lyon"
"Zombie in a Penguin Suit","Film",2011,"Chris Russell"
"Humans Vs. Zombies","Film",2011,"Brian T. Jaynes"
"Chillerama","Film",2011,"Adam Green, Joe Lynch/Adam Rifkin/Tim Sullivan"
"Eaters","Film",2011,"Luca Boni, Marco Restori"
"Death Valley","TV Show",2011,"Curtis Gwinn, Eric Weinberg"
"The Walking Dead #2","TV Show",2011,"Robert Kirkman, Frank Darabont"
"Zombie Apocalypse","Film",2010,"Ryan Thompson"
"Rammbock","Film",2010,"Marvin Kren"
"L.A. Zombie (Gay of the Dead)","Film",2010,"Bruce LaBruce"
"Sella Turcica","Film",2010,"Fred Vogel"
"Primal","Film",2010,"Josh Reed"
"Big Tits Zombie (Big Tits Dragon: Hot Spring Zombie vs. Stripper 5)","Film",2010,"Takao Nakano"
"Highschool of the Dead","TV Show",2010,"Tetsuro Araki"
"Sint (Saint, Saint Nick)","Film",2010,"Dick Maas"
"Juan of the Dead (Juan de los Muertos)","Film",2010,"Alejandro Brugues"
"Island: Wedding of the Zombies","Film",2010,"Murat Emir Eren, Talip Erturk"
"2001 Maniacs: Field of Screams","Film",2010,"Tim Sullivan"
"Mad Cow","Film",2010,"Michael Wright, Michael J. Rix"
"The Dead Undead","Film",2010,"Matthew R. Anderson, Edward Conna"
"Opstandelsen","Film",2010,"Casper Haugegaard"
"The Defiled","Film",2010,"Julian Grant"
"Zombie Undead","Film",2010,"Rhys Davies"
"Devil's Playground","Film",2010,"Mark McQueen"
"School of the Dead","Film",2010,"Sam Horsley"
"The Dead","Film",2010,"Howard J. Ford, Jonathan Ford"
"Zomblies","Film",2010,"David M. Reynolds"
"Nightmare Alley","Film",2010,"Laurence Holloway, Scarlet Fry"
"Beverly Lane","Film",2010,"Joshua Hull"
"Die-ner (Get It?)","Film",2010,"Patrick Horvath"
"George A. Romero's Survival of the Dead","Film",2010,"George A. Romero"
"Horrorween","Film",2010,"Joe Estevez"
"Misery Bear - Dawn of the Ted","Film",2010,"Chris Hayward, Nat Saunders"
"Night Shift","Film",2010,"Rob Chinery, Scott Chinery/Tommy Chinery"
"Pushin' Up Daisies","Film",2010,"Patrick Franklin"
"Resident Evil: Afterlife","Film",2010,"Paul W.S. Anderson"
"III Slices of Life","Film",2010,"Anthony G. Sumner"
"Zombie Driftwood ","Film",2010,"Bob Carruthers"
"The Crazies","Film",2010,"Breck Eisner"
"The Dead and the Damned","Film",2010,"Rene Perez"
"They Walk","Film",2010,"Charles House II"
"The Walking Dead #1","TV Show",2010,"Robert Kirkman, Frank Darabont"
"Zombie Roadkill","TV Show",2010,"David Green"
"Zombie Beach","Film",2010,"Muskeh Asopa"
"The Crypt","Film",2009,"Craig McMahon"
"Autumn","Film",2009,"Steven Rumbelow"
"They Shall Pay with Rivers of Blood","Film",2009,"Buck Anderson"
"Fast Zombies with Guns","Film",2009,"Bennie Woodell"
"Dark Floors","Film",2009,"Pete Riski"
"Mutants","Film",2009,"David Morlet"
"Paris by Night of the Living Dead","Film",2009,"Gregory Morin"
"The Horde/La Horde","Film",2009,"Yannick Dahan, Benjamin Rocher"
"Evil: In the Time of Heroes","Film",2009,"Yorgos Noussias"
"Zone of the Dead (Zona Mrtvih) ","Film",2009,"Milan Konjevic, Milan Todorovic"
"REC 2","Film",2009,"Jaume Balaguero, Paco Plaza"
"Doghouse","Film",2009,"Jake West"
"Tormented","Film",2009,"Jon Wright"
"Alice Jacobs Is Dead","Film",2009,"Alex Horwitz"
"Blood Creek/Creek, Town Creek","Film",2009,"Joel Schumacher"
"Broken Springs/Broken Springs: Shrine of the Undead Zombie Bastards","Film",2009,"Neeley Lawson"
"Dead Air","Film",2009,"Corbin Bernsen"
"Dong of the Dead","Film",2009,"Joanna Angel"
"Eat Me!/The Eaters","Film",2009,"Katie Carman"
"Gallowwalkers","Film",2009,"Andrew Goth"
"George: A Zombie Intervention","Film",2009,"J.T. Seaton"
"The Haunted World of El Superbeasto","Film",2009,"Rob Zombie"
"Night of the Living Dead: Reanimated","Film",2009,"Mike Schneider"
"Pontypool","Film",2009,"Bruce McDonald"
"Rising Up: The Story of the Zombie Rights Movement","Film",2009,"Laura Moss"
"Silent Night, Zombie Night","Film",2009,"Sean Cain"
"Drive-In Horrorshow","Film",2009,"Michael Neel"
"Porn Star Zombies","Film",2009,"Keith Emerson"
"Survival of the Dead","Film",2009,"George A. Romero"
"The Book of Zombie","Film",2009,"Scott Kragelund, Paul Cranefield/Erik Van Sant"
"The Night Shift","Film",2009,"Thomas Smith"
"The Revenant","Film",2009,"D. Kerry Prior"
"The Sky Has Fallen","Film",2009,"Doug Roos"
"The Zombeatles: All You Need Is Brains","Film",2009,"Doug Gordon"
"ZMD: Zombies of Mass Destruction","Film",2009,"Kevin Hamedani"
"Zombie Women of Satan","Film",2009,"Steve O'Brien, Warren Speed"
"Zombieland","Film",2009,"Ruben Fleischer"
"Woke Up Dead","TV Show",2009,"Jon Heder"
"Chanbara Beauty: The Movie - Vortex","Film",2009,"Tsuyoshi Shôji"
"Surviving Evil","Film",2009,"Terrence Daw"
"Descendents (Solos)","Film",2008,"Jorge Olguin"
"Make-out with Violence","Film",2008,"Deagol Brothers"
"Deep River: The Island","Film",2008,"Ben Bachelder"
"Reel Zombies","Film",2008,"David J. Francis"
"Trailer Park of Terror","Film",2008,"Steven Goldmann"
"Otto/Or, Up with Dead People","Film",2008,"Bruce LaBruce"
"Virus Undead","Film",2008,"Wolf Wolff, Ohmuti"
"Deadgirl","Film",2008,"Marcel Sarmiento, Gadi Harel"
"Resident Evil: Degeneration","Film",2008,"Makoto Kamiya"
"Uniform SurviGirl I","Film",2008,"Hiroshi Kaneko"
"Yoroi Samurai Zombie/Yoroi: Samurai Zonbie/Samurai Zombie","Film",2008,"Tak Sakaguchi"
"The Guard Post","Film",2008,"Su-chang Kong"
"Last of the Living","Film",2008,"Logan McMillan"
"Dead Snow","Film",2008,"Tommy Wirkola"
"Sexykiller/Sexykiller, morirás por ella","Film",2008,"Paco Cabeza"
"Mutant Chronicles","Film",2008,"Simon Hunter"
"Outpost","Film",2008,"Steve Barker"
"Stag Night of the Dead","Film",2008,"Neil Jones"
"The Vanguard","Film",2008,"Matthew Hope"
"The Dead Outside","Film",2008,"Kerry Anne Mullaney"
"The Living Dead Chronicles","Film",2008,"Webby"
"Colin","Film",2008,"Marc Price"
"Dead Set","TV Show",2008,"Charlie Brooke, Yann Demange"
"Evilution","Film",2008,"Chris Conlee"
"When Zombies Attack!","Film",2008,"Craig Ouellette"
"Aces & Eights","Film",2008,"Matt Allen"
"Dance of the Dead","Film",2008,"Gregg Bishop"
"Day of the Dead","Film",2008,"Steve Miner"
"Dead Space: Downfall","Film",2008,"Chuck Patton"
"Diary of the Dead","Film",2008,"George A. Romero"
"Dinner Party of the Damned","Film",2008,"Brian Wimer"
"Edges of Darkness","Film",2008,"Jason Horton, Blaine Cade"
"Flick","Film",2008,"David Howard"
"George Romero's Diary of the Dead","Film",2008,"George A. Romero"
"Grave Mistake","Film",2008,"Shawn Darling"
"I Love Sarah Jane","Film",2008,"Spencer Susser"
"I Sell the Dead","Film",2008,"Glenn McQuaid"
"Insanitarium","Film",2008,"Jeff Buhler"
"Living Dead Lock Up 3: Siege of the Dead","Film",2008,"Mario Xavier"
"Maybe....","Film",2008,"Christopher Kahler"
"Night of the Living Jews","Film",2008,"Oliver Noble"
"Ninjas vs. Zombies","Film",2008,"Justin Timpane"
"Plaguers","Film",2008,"Brad Sykes"
"Quarantine","Film",2008,"John Erick Dowdle"
"Splinter","Film",2008,"Toby Wilkins"
"Street of the Dead","Film",2008,"Joe Pontillo"
"Zombie Strippers","Film",2008,"Jay Lee"
"Oneechanbara: The Movie","Film",2008,"Yôhei Fukuda"
"Undead Ted","Film",2007,"Daniel Knight"
"Black Swarm (Night of the Drones)","Film",2007,"David Winning"
"Joshikyôei hanrangun","Film",2007,"Kôji Kawano"
"The Mad","Film",2007,"John Kalangis"
"Zombie Warrior","Film",2007,"Daniel Flugger"
"Zombi Kampung Pisang/Zombies from Banana Village","Film",2007,"Mamat Khalid"
"Undead Pool (Attack Girls' Swim Team versus the Undead)","Film",2007,"Koji Kawano"
"Zibahkhana (Hell's Ground)","Film",2007,"Omar Khan"
"28 Weeks Later","Film",2007,"Juan Carlos Fresnadillo"
"REC","Film",2007,"Jaume Balaguero, Paco Plaza"
"Dead Heist","Film",2007,"Bo Webb"
"Afternoon of the Rat-Faced Zombies","Film",2007,"Vinson Pike"
"Zombie Farm","Film",2007,"B. Luciano Barsuglia"
"American Zombie","Film",2007,"Grace Lee"
"Beneath the Surface","Film",2007,"Blake Reigle"
"Brain Blockers","Film",2007,"Lincoln Kupchak"
"Brain Dead","Film",2007,"Kevin Tenney"
"Days of Darkness","Film",2007,"Jake Kennedy"
"Dead Moon Rising","Film",2007,"Mark E. Poole"
"Dorm of the Dead","Film",2007,"Donald Farmer"
"Flight of the Living Dead: Outbreak on a Plane","Film",2007,"Scott Thomas"
"Forest of the Dead","Film",2007,"Brian Singleton"
"Grindhouse","Film",2007,"Robert Rodriguez, Quentin Tarantino"
"I Am Legend","Film",2007,"Francis Lawrence"
"I Am Omega","Film",2007,"Griff Furst"
"Planet Terror","Film",2007,"Robert Rodriguez"
"Resident Evil: Extinction","Film",2007,"Russell Mulcahy"
"Return of the Livig Dead: The Dead Have Risen","Film",2007,"Mitch Csanadi"
